artist_name,track_name,track_id,album_id,artist_id,track_popularity,artist_popularity,artist_genre,duration_ms,release_date,release_date_precision
Doja Cat,Woman,6Uj1ctrBOjOas8xZXGqKk4,1nAQbHeOWTfQzbOoFrvndW,5cj0lLjcoR7YOSnhnX0Po5,92,89,"['dance pop', 'pop']",172626,2021-06-25,day
Otmar Eros,"Year 2016:, Pt. 4",1sUxW2zAmXA7lXHC8Dxu4s,21AA25PUsBnGgzLmiCFhX6,5XY9JN9PcQ41KQTZqtyhsL,26,22,[],69839,2021-03-09,day
Morgan Wallen,Wasted On You,3cBsEDNhFI9E82vPj3kvi3,6JlCkqkqobGirPsaleJpFr,4oUHIQIBe0LHzYfvXNW4QM,84,83,['contemporary country'],178520,2021-01-08,day
Elvis Costello & The Attractions,Pump It Up - 2021 Remaster,3oyc1mIdCBGaU55wX7otqM,4RLIesiAVONV4fOUlOSmr4,4qmHkMxr6pTWh5Zo74odpH,63,54,"['art rock', 'folk rock', 'mellow gold', 'new wave pop', 'power pop', 'pub rock', 'rock']",196680,1978-03-17,day
Olivia Rodrigo,good 4 u,4ZtFanR9U6ndgddUvNcjcG,6s84u2TUpR3wdUv4NgKA2j,1McMsnEElThX1knmY4oliG,91,85,['pop'],178146,2021-05-21,day
Jay Sean,2012 (It Ain't The End),1ERCOXHQcoLSTlgmNTlcrR,6Yu5seu8YlZCOCF0qYVoIr,4pADjHPWyrlAF0FA7joK2H,57,64,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']",222200,2010-01-01,day
Drake,Knife Talk (with 21 Savage ft. Project Pat),2BcMwX1MPV6ZHP4tUT9uq6,3SpBlxme9WbeQdI9kx7KAV,3TVXtAsR1Inumwj472S9r4,86,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",242965,2021-09-03,day
Mr.Kitty,Years - 2021 Remaster,4S4ZY1yKo3WUtzsg3O6hcf,5uwKqWUMTSqRD5AvwzQNYB,0pWwt5vGNzezEhfAcc420Y,24,69,['weirdcore'],214158,2014,year
Nicky Youre,Sunroof,4h4QlmocP3IuwYEj2j14p8,0VaHnwzDug4AcDkejYDUl5,7qmpXeNz2ojlMl2EEfkeLs,90,71,[],163025,2021-12-03,day
Elvis Costello & The Attractions,"Radio, Radio - 2021 Remaster",0qvo5kciIqZJn1t8jdfqDn,4RLIesiAVONV4fOUlOSmr4,4qmHkMxr6pTWh5Zo74odpH,48,54,"['art rock', 'folk rock', 'mellow gold', 'new wave pop', 'power pop', 'pub rock', 'rock']",186213,1978-03-17,day
Stephen Sanchez,Until I Found You,0T5iIrXA4p5GsubkhuBIKV,18CtLoAMTr7F8ngtuM6D8i,5XKFrudbV4IiuE5WuTPRmT,91,73,['gen z singer-songwriter'],177720,2021-09-01,day
Hop hip show,YEAR 2021,3sNhMmddBLSV8bUaTGLfkg,08iwSUAbnBiT0GROdo9n8C,5Ioq8HOg38X9F4i7ctL0UQ,0,0,[],204291,2022-04-01,day
Lil Nas X,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,6pOiDiuDQqrmo5DbG0ZubR,7jVv8c5Fj3E9VhNjxT4snq,90,82,"['lgbtq+ hip hop', 'pop']",143901,2021-09-17,day
Otmar Eros,"Year 2016:, Pt. 1",48Mk9nvXiHZ9eSDqkX8sSZ,21AA25PUsBnGgzLmiCFhX6,5XY9JN9PcQ41KQTZqtyhsL,22,22,[],59443,2021-03-09,day
Olivia Rodrigo,traitor,5CZ40GBx1sQ9agT82CLQCT,6s84u2TUpR3wdUv4NgKA2j,1McMsnEElThX1knmY4oliG,90,85,['pop'],229226,2021-05-21,day
Elvis Costello & The Attractions,The Beat - 2021 Remaster,1bqlDsBlBPxjK0zuFQcSXq,4RLIesiAVONV4fOUlOSmr4,4qmHkMxr6pTWh5Zo74odpH,48,54,"['art rock', 'folk rock', 'mellow gold', 'new wave pop', 'power pop', 'pub rock', 'rock']",228973,1978-03-17,day
Drake,Wants and Needs (feat. Lil Baby),65OVbaJR5O1RmwOQx0875b,5LuoozUhs2pl3glZeAJl89,3TVXtAsR1Inumwj472S9r4,84,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",192956,2021-03-05,day
yt music,Year 2021,0DBlFmx6wmnuoLaAl7hfew,39ox1ASUZlSrz7hYZP56ms,4huHjXJ8t0vPyThb3b6oHM,0,1,[],245100,2021-10-31,day
Doja Cat,Need to Know,3Vi5XqYrmQgOYBajMWSvCi,1nAQbHeOWTfQzbOoFrvndW,5cj0lLjcoR7YOSnhnX0Po5,87,89,"['dance pop', 'pop']",210560,2021-06-25,day
Otmar Eros,"Year 2016:, Pt. 2",3DfKQFbKLYCnzluGint477,21AA25PUsBnGgzLmiCFhX6,5XY9JN9PcQ41KQTZqtyhsL,21,22,[],144149,2021-03-09,day
The Kid LAROI,STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,4QLAtpLNUsHEYrcHXmMIZZ,2tIP7SsRs7vjIcLrU85W8J,91,83,['australian hip hop'],141805,2021-07-09,day
Lofi Fruits Music,7 Years,2JjwQsLvMknwKhMRbdC7Mb,35DIb6j45YmbHAfyN7HgaG,1dABGukgZ8XKKOdd2rVSHM,53,73,"['lo-fi cover', 'lo-fi product']",114000,2021-06-09,day
Olivia Rodrigo,deja vu,6HU7h9RYOaPRFeh0R3UeAr,6s84u2TUpR3wdUv4NgKA2j,1McMsnEElThX1knmY4oliG,89,85,['pop'],215506,2021-05-21,day
Duck,Year 2021,4cdcFyEEr2g74eM9m8XohF,497Ds38hwXZwvtKnsMlTFd,4f88qkUphyOUhjuCRR3n53,0,0,[],104668,2021-03-02,day
Justin Bieber,Ghost,6I3mqTwhRpn34SLVafSH7G,5dGWwsZ9iB2Xc3UKR0gif2,1uNFoZAHBGtllmzznpCI3s,90,90,"['canadian pop', 'pop']",153190,2021-03-19,day
Amaranta,Medley Picaflor de Los Andes - Live Streaming New Year 2021 Remastered,5PraiQQAIkl0xw6pSFVX5h,06p353HTAmSxH9LhWsj5ce,18MbBAbtk2Knvmk75JXFqd,26,41,"['huayno peruano', 'tunantada']",1035420,2021-06-16,day
Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ,1bTgKomQYSkKYPD9UI9W4b,53XhwfbYqKCa1cC15pYq2q,90,86,"['modern rock', 'rock']",173381,2021-10-28,day
France Gall,Laisse tomber les filles,0mU8byD07n6FLEOqxRJcz1,5pL4VA9ZMhKEstafBfBGYF,22HVxZPA6UhBp8wahxDA6I,42,54,"['chanson', 'french pop', 'ye ye']",133520,2021-12-16,day
Ed Sheeran,Shivers,50nfwKoDiSYg8zOCREWAm5,32iAEBstCjauDhyKpGjTuq,6eUKZXaKkcviH0Ku9w2n3V,91,90,"['pop', 'uk pop']",207853,2021-10-29,day
J.K.,Year 2021,4trDNqHFg6hfx8w9uni7lY,6hx31Q67IcymH93rxVNbro,5ZDdXySQnyOvq4PvZGVYX2,0,0,[],207750,2021-11-10,day
Yeat,Monëy so big,7BbaIYAdi3pg4MGl6PHwPv,1x55Z0fYARLdeJVjG2UESs,3qiHUAX7zY4Qnjx8TNUzVx,83,79,['pluggnb'],160052,2021-09-10,day
Amaranta,Mix de Huaylas - Live Streaming audio and video New Year 2021 remasterized,5Sr84YP8kcuQrT8RRtaNlO,1k0Bqa15hYvMjRGhJTHaDF,18MbBAbtk2Knvmk75JXFqd,25,41,"['huayno peruano', 'tunantada']",457619,2021-06-06,day
